18776133-17	In the current study, we found that treatment of peripheral blood mononuclear cells with combination <mark style="background-color:lightgreen;" id="O62641,O77620,O97513,P04351,P05016,P17108,P19114,P26891,P36835,P37997,P46649,P51747,P60568,P60569,P68290,P68291,Q07885,Q08081,Q08867,Q1WM29,Q25BC3,Q29416,Q29615,Q2PE47,Q2PE78,Q4U313,Q5MBA8,Q5PXD0,Q7JFM2,Q7JFM3,Q7JFM4,Q7JFM5,Q865X2,Q865Y1,Q8MKH2,Q95KP3,Q9XS38,Q9XT83,Q9XT84">IL-2</mark> / <mark style="background-color:lightgreen;" id="O77762,P05112,P07750,P20096,P30367,P30368,P42202,P46652,P47966,P51492,P51744,P55030,P79155,P79339,Q04745,Q2PE74,Q3S4V6,Q58M18,Q60440,Q7YS71,Q865X5,Q865Y0,Q8HYB1,Q9MZR8,Q9XS58">IL-4</mark> for 48 hours, but not with <mark style="background-color:lightgreen;" id="O62641,O77620,O97513,P04351,P05016,P17108,P19114,P26891,P36835,P37997,P46649,P51747,P60568,P60569,P68290,P68291,Q07885,Q08081,Q08867,Q1WM29,Q25BC3,Q29416,Q29615,Q2PE47,Q2PE78,Q4U313,Q5MBA8,Q5PXD0,Q7JFM2,Q7JFM3,Q7JFM4,Q7JFM5,Q865X2,Q865Y1,Q8MKH2,Q95KP3,Q9XS38,Q9XT83,Q9XT84">IL-2</mark> or <mark style="background-color:lightgreen;" id="O77762,P05112,P07750,P20096,P30367,P30368,P42202,P46652,P47966,P51492,P51744,P55030,P79155,P79339,Q04745,Q2PE74,Q3S4V6,Q58M18,Q60440,Q7YS71,Q865X5,Q865Y0,Q8HYB1,Q9MZR8,Q9XS58">IL-4</mark> alone, abrogated <mark style="background-color:lightblue;" id="5743">dexamethasone</mark> ( <mark style="background-color:lightgreen;" id="P48845">DEX</mark> )-induced <mark style="background-color:lightgreen;" id="O13186,O46567,O73673,P04150,P06536,P06537,P35547,P49115,P49843,P49844,P59667,P79269,P79686,Q5R9P5,Q6XLJ0,Q95267,Q9N1U3">glucocorticoid receptor</mark> (GCR)-alpha nuclear translocation in both <mark style="background-color:lightgreen;" id="P01730,P05542,P16003,P16004,P33705,P46630,P79184,P79185,Q08336,Q08338,Q08339,Q08340,Q29037,Q9XS78">CD4</mark> (+) and CD8(+) T cells.
18716858-1921	Sequencing of the 5'-upstream region of the <mark style="background-color:lightgreen;" id="O01739,O35078,P00371,P14920,P18894,P19801,P22942,P24552,P36633,P80324,Q19564,Q8JZQ5,Q99042,Q9TRC7,Q9Z1M5,Q9Z302">DAO</mark> gene revealed the deletion of one triplet in the 15 <mark style="background-color:lightblue;" id="2723949">TAA</mark> repeats approximately 700-bp upstream of the <mark style="background-color:yellow;" id="GO:0006350,biological_process">transcription</mark> start point.
18716864-1923	The data presented here show that NH4Cl (5 mM) mediates astroglial cell swelling, and that treatment with NH4Cl or <mark style="background-color:lightblue;" id="612">lactate</mark> (25 mM) causes rearrangements of <mark style="background-color:lightgreen;" id="O00937,O13419,O16808,O17320,O65314,O65315,O65316,O74258,O81221,P02577,P10365,P10989,P11426,P13363,P14235,P17128,P20904,P24902,P26182,P26183,P30161,P45520,P45521,P48465,P50138,P51775,P53455,P53476,P53477,P53491,P53498,P53499,P53500,P53502,P53689,P60009,P60010,P60011,P68555,P78711,P80709,P81085,P90689,P91754,Q05214,Q11212,Q24733,Q2U7A3,Q39596,Q39758,Q6TCF2,Q75D00,Q8SWN8,Q8X119,Q92192,Q92193,Q99023,Q9P4D1,Q9UVF3,Q9UVX4,Q9UVZ8">actin</mark> filaments and reduces astroglial glutamate uptake capacity.
18757837-1932	The objective of the present study was to investigate the effects of a high-<mark style="background-color:lightblue;" id="304,5997,6432564,11025495">cholesterol</mark> diet on <mark style="background-color:lightgreen;" id="P33724,P35431,P41350,P49817,P79132,Q03135,Q07DV9,Q07DX1,Q07DY2,Q07DZ2,Q07E02,Q07E25,Q07E38,Q07E49,Q09YH8,Q09YK1,Q09YN6,Q108U7,Q2IBA5,Q2IBC1,Q2IBD7,Q2IBF0,Q2IBG8,Q2QL79,Q2QL90,Q2QLB0,Q2QLC1,Q2QLF2,Q2QLG6,Q2QLH7,Q6B3Y2,Q6RVA9,Q94051,Q9YGM8">caveolin-1</mark> expression and IR <mark style="background-color:yellow;" id="GO:0051179,biological_process">localization</mark> and activity in the rat liver.
18716881-1939	<mark style="background-color:lightgreen;" id="Q80U72">Lap4</mark> , a <mark style="background-color:lightgreen;" id="P14904">vacuolar aminopeptidase I</mark> , is involved in <mark style="background-color:lightblue;" id="23973">cadmium</mark>- <mark style="background-color:yellow;" id="GO:0006749,biological_process">glutathione metabolism</mark> .
18716881-1940	Here, we proposed that <mark style="background-color:lightgreen;" id="Q80U72">Lap4</mark> , a vacuolar amino peptidase, is involved in <mark style="background-color:yellow;" id="GO:0006751,biological_process">glutathione catabolism</mark> under <mark style="background-color:lightblue;" id="23973">cadmium</mark> stress.
18716881-1942	Thus, under <mark style="background-color:lightblue;" id="23973">cadmium</mark> stress, <mark style="background-color:lightgreen;" id="Q80U72">Lap4</mark> and gamma-glutamyl transferase seem to work together to assure an efficient <mark style="background-color:lightblue;" id="124886">glutathione</mark> turnover stored in the <mark style="background-color:yellow;" id="GO:0000324,GO:0005773,GO:0000325,cellular_component">vacuole</mark> .
18815356-1953	Lower expression of <mark style="background-color:lightgreen;" id="P08833,P24591,Q6Q484,Q75ZP3">IGFBP1</mark> and <mark style="background-color:lightgreen;" id="P10765,P22393,P33089,P33090,P33091,P43001">prolactin</mark> mRNA and protein was observed in hESF from women with vs. those without endometriosis in response to <mark style="background-color:lightblue;" id="32014">8-Br-cAMP</mark>, but not P4, suggesting a blunted response of these decidual biomarkers to activation of the <mark style="background-color:yellow;" id="GO:0004691,molecular_function">PKA</mark> pathway in eutopic endometrium in women with disease.
18807018-1954	Study of multiple <mark style="background-color:yellow;" id="GO:0005488,molecular_function">binding</mark> constants of <mark style="background-color:lightblue;" id="5743">dexamethasone</mark> with human <mark style="background-color:lightgreen;" id="P21847,P83517">serum albumin</mark> by capillary electrophoresis-frontal analysis and multivariate regression.
18807018-1955	In this paper, to evaluate the pharmacokinetic and pharmacodynamic properties of <mark style="background-color:lightblue;" id="5743">dexamethasone</mark> (DXM), the interaction between DXM and <mark style="background-color:lightgreen;" id="P24807,Q07490">HSA</mark> was studied by capillary electrophoresis-frontal analysis (CE-FA).
18716920-1959	In this research, the effects of pH, temperature, and <mark style="background-color:lightblue;" id="977">oxygen</mark> on growth kinetics of a newly isolated strain of Bacillus circulans from the Amazon and their correlations with <mark style="background-color:lightgreen;" id="P40746,P52183,P81453,Q819L3,Q81MS1,Q8GR90,Q9K5W7">transglutaminase</mark> ( <mark style="background-color:lightgreen;" id="P40746,P81453,Q05187,Q819L3,Q81MS1,Q8GR90,Q9K5W7">TGase</mark> ) production and cell <mark style="background-color:yellow;" id="GO:0030435,GO:0030437,GO:0030436,biological_process">sporulation</mark> were investigated.
18782461-1964	PCFT/ <mark style="background-color:lightgreen;" id="Q13946,Q96NT5">HCP1</mark> could therefore play a physiological role in Fe nutrition and the data highlight the potential for the interaction of <mark style="background-color:lightblue;" id="6037">folate</mark> and haem at the level of <mark style="background-color:yellow;" id="GO:0050892,biological_process">intestinal absorption</mark> .
18782463-1965	Following an oral <mark style="background-color:lightblue;" id="206,5793,64689,79025">glucose</mark> challenge, there was a weak trend for <mark style="background-color:lightblue;" id="206,5793,64689,79025">glucose</mark>-stimulated <mark style="background-color:lightgreen;" id="P01314,P01316,P01319,P01320,P01324,P01328,P01330,P01331,P01334,P01336,P01340,P07453,P09476,P09477,P0C236,P12703,P12704,P12708,P13190,P18109,P29335,P42633,P67968,P67969,P67971,P67973,P67974,P68243,P68245,P68987,P68988,P68989,P68990,P68991,P68992,P69046,P69047,P69048,P81423,P81881,Q9TQY7">insulin</mark> release to be increased in the offspring of dams fed the folate-deficient diet.
18798864-1974	Effects of <mark style="background-color:lightblue;" id="5035">raloxifene</mark> on breast cancer <mark style="background-color:yellow;" id="GO:0016477,biological_process">cell migration</mark> and invasion through the <mark style="background-color:lightgreen;" id="O00937,O13419,O16808,O17320,O65314,O65315,O65316,O74258,O81221,P02577,P10365,P10989,P11426,P13363,P14235,P17128,P20904,P24902,P26182,P26183,P30161,P45520,P45521,P48465,P50138,P51775,P53455,P53476,P53477,P53491,P53498,P53499,P53500,P53502,P53689,P60009,P60010,P60011,P68555,P78711,P80709,P81085,P90689,P91754,Q05214,Q11212,Q24733,Q2U7A3,Q39596,Q39758,Q6TCF2,Q75D00,Q8SWN8,Q8X119,Q92192,Q92193,Q99023,Q9P4D1,Q9UVF3,Q9UVX4,Q9UVZ8">actin</mark>  <mark style="background-color:yellow;" id="GO:0005856,cellular_component">cytoskeleton</mark> .
18798867-1982	High <mark style="background-color:lightblue;" id="206,5793,64689,79025">glucose</mark> attenuates <mark style="background-color:lightgreen;" id="P15691,P15692,P26617,P49151,P50412,P67964,P67965,Q99PS1,Q9GKR0,Q9MYV3">VEGF</mark> expression in rat multipotent adult progenitor cells in association with inhibition of <mark style="background-color:lightgreen;" id="O60674">JAK2</mark> / <mark style="background-color:lightgreen;" id="P40763,P61635">STAT3</mark> signalling.
18798867-1983	This study was to investigate the effect of high <mark style="background-color:lightblue;" id="206,5793,64689,79025">glucose</mark> (<mark style="background-color:lightblue;" id="23931">HG</mark>) on vascular endothelial growth factor ( <mark style="background-color:lightgreen;" id="P15691,P15692,P26617,P49151,P50412,P67964,P67965,Q99PS1,Q9GKR0,Q9MYV3">VEGF</mark> ) expression in bone marrow stem cells and <mark style="background-color:lightgreen;" id="O60674">JAK2</mark> / <mark style="background-color:lightgreen;" id="P08457,P35610,Q7QDU4">STAT</mark> -3 signalling.
18798873-1986	In this study, a <mark style="background-color:yellow;" id="GO:0030357,molecular_function">calcineurin</mark> B-like ( <mark style="background-color:lightgreen;" id="P06721,P0A4K2,P0A4K3,P18949,P22681,P23256,P43623,P44527,P53101,P53780,Q07703,Q52811">CBL</mark> ) -interacting <mark style="background-color:lightgreen;" id="P00513,P25848">protein kinase</mark> (CIPK) gene, CIPK8, was found to be involved in early <mark style="background-color:lightblue;" id="943">nitrate</mark> signaling.
18798873-1988	Taken together, our results indicate that <mark style="background-color:lightgreen;" id="P06721,P0A4K2,P0A4K3,P18949,P22681,P23256,P43623,P44527,P53101,P53780,Q07703,Q52811">CBL</mark> -CIPK networks are responsible not only for stress responses and potassium shortage, but also for <mark style="background-color:lightblue;" id="943">nitrate</mark> sensing.
18800351-2001	<mark style="background-color:lightblue;" id="16315">Diallyl trisulfide</mark> selectively causes <mark style="background-color:lightgreen;" id="P27297,Q07813,Q63690">Bax</mark> - and <mark style="background-color:lightgreen;" id="O08734">Bak</mark> -mediated <mark style="background-color:yellow;" id="GO:0006915,biological_process">apoptosis</mark> in human lung cancer cells.
18800351-2002	The <mark style="background-color:lightblue;" id="75552">DATS</mark>-mediated G2- <mark style="background-color:yellow;" id="GO:0000279,biological_process">M phase</mark>  <mark style="background-color:yellow;" id="GO:0007050,biological_process">cell cycle arrest</mark> was explained by down-regulation of <mark style="background-color:lightgreen;" id="P06493,P11440,P13863,P39951,P48734,P51958,Q5RCH1,Q9DG98,Q9DGA2,Q9DGA5,Q9DGD3">cyclin-dependent kinase 1</mark> ( <mark style="background-color:lightgreen;" id="P34556">Cdk1</mark> ) and <mark style="background-color:yellow;" id="GO:0007049,biological_process">cell division cycle</mark> 25C protein expression leading to accumulation of Tyr15 phosphorylated (inactive) <mark style="background-color:lightgreen;" id="P34556">Cdk1</mark> .
18800351-2003	Knockdown of <mark style="background-color:lightgreen;" id="P27297,Q07813,Q63690">Bax</mark> and <mark style="background-color:lightgreen;" id="O08734">Bak</mark> proteins conferred significant protection against <mark style="background-color:lightblue;" id="75552">DATS</mark>-induced apoptotic cytoplasmic histone-associated DNA fragmentation.
18782570-2009	Association between serum <mark style="background-color:yellow;" id="GO:0019841,molecular_function">retinol-binding</mark>  <mark style="background-color:lightgreen;" id="P09048,P69610,P69611">protein 4</mark> and small dense low-density lipoprotein <mark style="background-color:lightblue;" id="304,5997,6432564,11025495">cholesterol</mark> levels in young adult women.
18725236-2014	Specific neurochemical elements in these structures include not only decreases in reward neurotransmission, such as decreases in <mark style="background-color:lightblue;" id="681">dopamine</mark> and <mark style="background-color:lightgreen;" id="P84814">opioid peptide</mark> function in the ventral striatum, but also recruitment of brain stress systems, such as <mark style="background-color:lightgreen;" id="P01142,P01143,P06296,P06850,P49188,P49926,Q8CIT0,Q95MI6,Q9PTS1">corticotropin-releasing factor</mark> ( <mark style="background-color:lightgreen;" id="O75973,P01142,P01143,P06296,P06850,P49188,P49926,Q8CIT0,Q95MI6,Q9PTS1">CRF</mark> ), in the extended amygdala.
18782588-2018	Adult female X. laevis were injected three times at weekly intervals with the hapten-carrier complex, trinitrophenylated bovine <mark style="background-color:lightgreen;" id="P21847,P83517">serum albumin</mark> (<mark style="background-color:lightblue;" id="5289486">TNP</mark>- <mark style="background-color:lightgreen;" id="P02769">BSA</mark> ).
18807177-2028	The estrogen-induced increase in <mark style="background-color:lightgreen;" id="O62747,P25930,P56491,P56498,P61072,P61073,P79394,Q28474,Q28553,Q3LSL6,Q764M9,Q7YS92,Q8HZU0,Q8HZU1,Q9TSQ8">CXCR4</mark> protein in MCF-7- <mark style="background-color:lightgreen;" id="P04626">HER2</mark> cells was abrogated by the antiestrogen <mark style="background-color:lightblue;" id="104741">ICI 182780</mark> and by <mark style="background-color:lightblue;" id="123631">gefitinib</mark> (<mark style="background-color:lightblue;" id="123631">Iressa</mark>; a <mark style="background-color:lightblue;" id="11150150">phospho-tyrosine</mark> kinase inhibitor), indicating an <mark style="background-color:yellow;" id="GO:0005783,cellular_component">ER</mark> -mediated effect and confirming involvement of receptor <mark style="background-color:lightblue;" id="1153,6057,5460803">tyrosine</mark> kinases, respectively.
18790812-2041	This initiates a <mark style="background-color:lightblue;" id="6076">cAMP</mark> signalling cascade resulting in the translocation of <mark style="background-color:lightgreen;" id="O62735,O77697,O77714,O77722,O77740,P41181,P79099,P79144,P79164,P79165,P79168,P79200,P79213,P79229,P79803">AQP2</mark> -bearing vesicles to the apical <mark style="background-color:yellow;" id="GO:0016020,cellular_component">membrane</mark> .
18807200-2046	Enzymatic activities of an H(2)O(2) independent oxidase along with <mark style="background-color:lightgreen;" id="Q12570">laccase</mark> and an <mark style="background-color:lightgreen;" id="P05982,P15559,Q5RD31,Q64669,Q8CHK7">azoreductase</mark> suggest their prominent role during the decolorization of reactive yellow <mark style="background-color:lightblue;" id="24180624">84A</mark>.
18807200-2047	<mark style="background-color:lightgreen;" id="P05982,P15559,Q5RD31,Q64669,Q8CHK7">Azoreductase</mark> activity was prominent in presence of cofactors <mark style="background-color:lightblue;" id="439153">NADH</mark> and <mark style="background-color:lightblue;" id="5886">NADP</mark> in mineral salt medium.
18807214-2051	The increase of <mark style="background-color:lightblue;" id="977">oxygen</mark> availability caused the induction of the antioxidant enzyme <mark style="background-color:lightgreen;" id="O50258">superoxide dismutase</mark> , which indicates that the defensive mechanisms of the cells against oxidative stress were effective and cells could cope with increased pressure.
18758183-2073	<mark style="background-color:lightgreen;" id="O11451,O11452,O11453,O39927,O39928,O39929,O91936,O92529,O92530,O92531,O92532,P06934,P16342,P19751,P25880,P25881,P25882,P25884,P25989,P26660,P26661,P26662,P26663,P26664,P27958,P29833,P29846,P29996,P29997,P40305,P68763,P68764,P68765,P69180,P69181,P69182,P69183,P69184,P69618,P69619,Q00269,Q43735,Q5I2N3,Q66198,Q68749,Q68798,Q68801,Q81258,Q81487,Q81495,Q81754,Q81835,Q81842,Q8V439,Q8V6W7,Q913D4,Q91A29,Q91DH7,Q91DH8,Q91DH9,Q99IB8,Q9DHD6,Q9E925,Q9PYA3,Q9QAX1,Q9WMX2">P27</mark> and <mark style="background-color:lightgreen;" id="O09185,O12946,O57538,O93379,P02340,P04637,P10361,P19558,P19559,P56423,P56424,P61260,P79820,P79892,Q29537,Q42578,Q8SPZ3,Q92143,Q9TTA1,Q9TUB2,Q9W678,Q9W679">P53</mark> play important roles in the signal <mark style="background-color:yellow;" id="GO:0009293,biological_process">transduction</mark> leading to neointimal growth inhibition and <mark style="background-color:yellow;" id="GO:0006917,biological_process">induction of apoptosis</mark> of smooth muscle cells due to <mark style="background-color:lightblue;" id="5040,478951,5284616,5358081,5374464,5460439,5497196,6436030,16760631,17753749,44295234,53627520,54600319">rapamycin</mark> and <mark style="background-color:lightblue;" id="4666,36314,441276,5352019,6713921,6915727,44155032,53313247">paclitaxel</mark>.
18766385-2075	Iron uptake by the ubiquitous iron-storage protein <mark style="background-color:lightgreen;" id="Q26061">ferritin</mark> involves the oxidation of two <mark style="background-color:lightblue;" id="27284">Fe(II</mark>) ions located at the highly conserved dinuclear " <mark style="background-color:lightgreen;" id="P00450,P13635,Q61147,Q9XT27">ferroxidase</mark> centre" in individual subunits.
18766385-2076	We have measured X-ray absorption spectra of four mutants (K86Q, K86Q/E27D, K86Q/E107D, and K86Q/E27D/E107D, involving variations of <mark style="background-color:lightgreen;" id="P00864">Glu</mark> to <mark style="background-color:lightgreen;" id="Q5YD48,Q923K9,Q9VC45">Asp</mark> on either or both sides of the dinuclear <mark style="background-color:lightgreen;" id="P00450,P13635,Q61147,Q9XT27">ferroxidase</mark> site) of recombinant human H-chain <mark style="background-color:lightgreen;" id="Q26061">ferritin</mark> (rHuHF) in their complexes with reactive <mark style="background-color:lightblue;" id="27284">Fe(II</mark>) and redox-inactive <mark style="background-color:lightblue;" id="32051">Zn(II</mark>).
18790996-2085	The formation and trafficking of autophagic vesicles are directed in part by associated <mark style="background-color:yellow;" id="GO:0000746,biological_process">conjugation</mark> cascades that couple the AUTOPHAGY-RELATED8 ( <mark style="background-color:lightgreen;" id="P0C075,P38182,P87068,Q4P2U6,Q51MW4,Q5KN30,Q5QFG1,Q6BT31,Q6C794,Q6CMF8,Q6FXR8,Q755X2,Q8H715,Q8J282,Q8NJJ4">ATG8</mark> ) and <mark style="background-color:lightgreen;" id="O94817,P38316,Q3T0W7,Q51P78,Q55S70,Q5AKU4,Q5R7W1,Q69NP0,Q6BU30,Q6BZZ1,Q6CUD5,Q6FMM7,Q75EB4">ATG12</mark> proteins to their respective targets, <mark style="background-color:lightblue;" id="114944">phosphatidylethanolamine</mark> and the <mark style="background-color:lightgreen;" id="Q12380,Q3MQ04,Q3MQ24,Q525E4,Q59VY1,Q5K6S9,Q5R792,Q6BVI8,Q6C4Q6,Q6CKE2,Q6FJZ6,Q6ZGL4,Q75BY9,Q9FFI2,Q9H1Y0">ATG5</mark> protein.
18790996-2086	Levels of Atg transcripts and/or the <mark style="background-color:lightgreen;" id="P0C075,P38182,P87068,Q4P2U6,Q51MW4,Q5KN30,Q5QFG1,Q6BT31,Q6C794,Q6CMF8,Q6FXR8,Q755X2,Q8H715,Q8J282,Q8NJJ4">ATG8</mark> -<mark style="background-color:lightblue;" id="114944">phosphatidylethanolamine</mark> adduct increase during <mark style="background-color:yellow;" id="GO:0010150,biological_process">leaf senescence</mark> and nitrogen and fixed-carbon limitations, indicating that <mark style="background-color:yellow;" id="GO:0006914,biological_process">autophagy</mark> plays a key role in nutrient remobilization.
